,title,media_url,quicktime_media_url,transcript_pdf
0,Unit 3. Burglary-Leanna,https://www.ovcttac.gov/downloads/VictimImpact/files/03_Leanna_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/03_Leanna_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Leanna-burglary.pdf
1,Unit 4. Assault-Alan,https://www.ovcttac.gov/downloads/VictimImpact/files/02_Alan_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/02_Alan_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Alan-assault.pdf
2,Unit 5. Robbery-Jim,https://www.ovcttac.gov/downloads/VictimImpact/files/14_Jim_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/14_Jim_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Jim-robbery.pdf
3,Unit 6. Hate Crime-Jee Young,https://www.ovcttac.gov/downloads/VictimImpact/files/10_Jee_Young_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/10_Jee_Young_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Jee_Young-hate_crime.pdf
4,Unit 7. Gang-Related Homicide-Teri,https://www.ovcttac.gov/downloads/VictimImpact/files/09_Teri_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/09_Teri_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Teri-gang_violence.pdf
5,Unit 8. Rape-Debbie,https://www.ovcttac.gov/downloads/VictimImpact/files/13_Debbie_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/13_Debbie_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Debbie-rape.pdf
6,Unit 9. Child Sexual Abuse (two clips),https://www.ovcttac.gov/downloads/VictimImpact/files/04_Nia_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/04_Nia_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Nia-child_abuse.pdf
7,Unit 9. Child Sexual Abuse part2,https://www.ovcttac.gov/downloads/VictimImpact/files/05_Ron_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/05_Ron_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Ron-child%20abuse.pdf
8,Unit 10. Domestic Violence-Rebel,https://www.ovcttac.gov/downloads/VictimImpact/files/07_Rebel_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/07_Rebel_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Rebel-domestic_violence.pdf
9,Unit 11. Drunk Driving-Cindi,https://www.ovcttac.gov/downloads/VictimImpact/files/08_Cindi_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/08_Cindi_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Cindi_drunk_driving.pdf
10,Unit 12. Homicide (3 clips),https://www.ovcttac.gov/downloads/VictimImpact/files/01_Peggy_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/01_Peggy_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Peggy-arson.pdf
11,Unit 12. Homicide part2,https://www.ovcttac.gov/downloads/VictimImpact/files/11_Amy_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/11_Amy_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Amy-homicide.pdf
12,Unit 12. Homicide part3,https://www.ovcttac.gov/downloads/VictimImpact/files/12_Myrtle_384K_Stream.wmv,https://www.ovcttac.gov/downloads/VictimImpact/files/12_Myrtle_384K_Stream.mov,https://www.ovcttac.gov/downloads/VictimImpact/files/Myrtle-homicide.pdf
